scenario,run,tau_ms,node_ts_ns,owner_free_ts_ns,orphan_detected_ts_ns,binding_ts_ns,h1_latency_ms,detecting_tick_gap_ms,ticks_captured
orphan,1,5,102400,300508300,300521900,300508300,0.013600,30.362100,28
orphan,2,5,63400,300326400,300335100,300326400,0.008700,31.147100,28
orphan,3,5,80900,300132600,300146600,300132600,0.014000,19.121900,28
orphan,4,5,102700,300251300,320528700,300251300,20.277400,32.770600,28
orphan,5,5,104000,300269800,300278700,300269800,0.008900,31.224500,28
orphan,6,5,98800,300564300,300572300,300564300,0.008000,30.129100,28
orphan,7,5,96200,300531700,300542000,300531700,0.010300,19.286600,28
orphan,8,5,58900,300474000,300482800,300474000,0.008800,36.349000,28
orphan,9,5,101600,300590800,300600600,300590800,0.009800,31.102300,28
orphan,10,5,75800,300392200,300400600,300392200,0.008400,31.113300,28
orphan,11,5,74200,300470400,320711400,300470400,20.241000,31.002500,28
orphan,12,5,101100,300236600,300245300,300236600,0.008700,31.027500,28
orphan,13,5,60500,300270000,300288500,300270000,0.018500,34.358600,28
orphan,14,5,102200,300305800,300314700,300305800,0.008900,30.998900,28
orphan,15,5,101100,300378000,300398700,300378000,0.020700,29.808500,28
orphan,16,5,95800,300412000,300421100,300412000,0.009100,30.159600,28
orphan,17,5,71700,300507700,300515600,300507700,0.007900,31.500100,28
orphan,18,5,94600,300452900,300461300,300452900,0.008400,30.383200,28
orphan,19,5,94500,300137300,300145100,300137300,0.007800,30.459300,28
orphan,20,5,100100,300422400,300430600,300422400,0.008200,30.990200,28
orphan,1,500,106100,300440500,502643400,500106100,2.537300,36.224100,34
orphan,2,500,96600,300307000,502559000,500096600,2.462400,35.892500,34
orphan,3,500,99800,300253800,502468800,500099800,2.369000,38.966800,34
orphan,4,500,99100,300317900,502533600,500099100,2.434500,37.846900,34
orphan,5,500,103200,300155100,502329200,500103200,2.226000,34.577000,34
orphan,6,500,59000,300411400,502658900,500059000,2.599900,36.239000,34
orphan,7,500,76700,300325600,502738500,500076700,2.661800,36.729200,34
orphan,8,500,103600,300220900,501999400,500103600,1.895800,39.907300,34
orphan,9,500,60000,300450500,502748600,500060000,2.688600,31.007400,34
orphan,10,500,60800,300441500,503145200,500060800,3.084400,30.571600,34
orphan,11,500,62900,300145500,502676300,500062900,2.613400,36.888500,34
orphan,12,500,100600,300619200,503381000,500100600,3.280400,35.242900,34
orphan,13,500,99400,300261000,502540700,500099400,2.441300,33.146900,34
orphan,14,500,105400,300266800,502979100,500105400,2.873700,34.192000,34
orphan,15,500,104900,300380700,502716200,500104900,2.611300,33.111500,34
orphan,16,500,104000,300395600,502473300,500104000,2.369300,35.926800,34
orphan,17,500,100600,300375300,503175900,500100600,3.075300,35.234700,34
orphan,18,500,98400,300575000,503236300,500098400,3.137900,35.389300,34
orphan,19,500,96500,300147500,502541600,500096500,2.445100,32.204000,34
orphan,20,500,105700,300177300,502310900,500105700,2.205200,36.320600,34
